district level ndvi values for Karnataka during jan month derived from modis data,,,,,,,,,,,,,,,,
state_name,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,2020_21
Karnataka,BAGALKOT,0.399,0.394,0.418,0.508,0.462,0.417,0.406,0.44,0.457,0.404,0.403,0.461,0.431,0.501,null
Karnataka,BANGALORE RURAL,0.373,0.416,0.439,0.448,0.472,0.422,0.372,0.42,0.443,0.482,0.437,0.433,0.393,0.462,null
Karnataka,BANGALORE URBAN,0.354,0.428,0.434,0.458,0.465,0.419,0.368,0.399,0.418,0.454,0.43,0.419,0.393,0.456,null
Karnataka,BELGAUM,0.424,0.39,0.439,0.515,0.476,0.44,0.418,0.447,0.502,0.411,0.425,0.48,0.457,0.523,null
Karnataka,BELLARY,0.364,0.403,0.377,0.429,0.412,0.371,0.374,0.381,0.42,0.378,0.347,0.406,0.381,0.451,null
Karnataka,BIDAR,0.38,0.327,0.375,0.424,0.465,0.371,0.39,0.466,0.372,0.315,0.43,0.41,0.36,0.496,null
Karnataka,BIJAPUR,0.358,0.311,0.344,0.434,0.4,0.332,0.358,0.376,0.384,0.333,0.339,0.404,0.333,0.471,null
Karnataka,CHAMARAJANAGAR,0.405,0.45,0.431,0.454,0.489,0.461,0.386,0.402,0.413,0.507,0.369,0.451,0.427,0.495,null
Karnataka,CHIKBALLAPUR,0.347,0.384,0.383,0.427,0.431,0.398,0.353,0.368,0.333,0.445,0.374,0.38,0.329,0.429,null
Karnataka,CHIKMAGALUR,0.434,0.45,0.457,0.522,0.528,0.478,0.444,0.459,0.498,0.532,0.465,0.465,0.487,0.556,null
Karnataka,CHITRADURGA,0.322,0.33,0.334,0.38,0.41,0.328,0.331,0.333,0.368,0.372,0.31,0.359,0.338,0.414,null
Karnataka,DAKSHIN KANNAD,0.61,0.571,0.61,0.665,0.642,0.61,0.611,0.619,0.637,0.645,0.629,0.632,0.598,0.69,null
Karnataka,DAVANGERE,0.359,0.381,0.375,0.429,0.443,0.363,0.379,0.378,0.424,0.388,0.368,0.391,0.391,0.445,null
Karnataka,DHARWAD,0.418,0.403,0.486,0.572,0.52,0.445,0.425,0.443,0.512,0.395,0.362,0.463,0.44,0.571,null
Karnataka,GADAG,0.337,0.359,0.421,0.478,0.468,0.357,0.371,0.375,0.422,0.341,0.323,0.394,0.363,0.499,null
Karnataka,GULBARGA,0.327,0.31,0.353,0.424,0.418,0.356,0.349,0.395,0.397,0.334,0.396,0.408,0.359,0.476,null
Karnataka,HASSAN,0.427,0.436,0.455,0.505,0.5,0.475,0.41,0.444,0.476,0.511,0.447,0.45,0.466,0.525,null
Karnataka,HAVERI,0.367,0.382,0.393,0.471,0.472,0.394,0.415,0.406,0.455,0.405,0.372,0.408,0.419,0.474,null
Karnataka,KODAGU,0.581,0.568,0.576,0.638,0.624,0.603,0.572,0.596,0.619,0.629,0.619,0.622,0.586,0.671,null
Karnataka,KOLAR,0.376,0.419,0.428,0.469,0.471,0.412,0.403,0.395,0.393,0.483,0.434,0.449,0.378,0.476,null
Karnataka,KOPPAL,0.309,0.37,0.355,0.41,0.385,0.325,0.337,0.361,0.38,0.325,0.317,0.388,0.332,0.426,null
Karnataka,MANDYA,0.443,0.458,0.459,0.508,0.508,0.501,0.454,0.472,0.513,0.515,0.485,0.5,0.502,0.537,null
Karnataka,MYSORE,0.384,0.407,0.391,0.453,0.46,0.445,0.381,0.406,0.447,0.466,0.404,0.444,0.425,0.476,null
Karnataka,RAICHUR,0.375,0.449,0.395,0.453,0.397,0.379,0.383,0.429,0.427,0.386,0.39,0.477,0.392,0.47,null
Karnataka,RAMNAGARA,0.388,0.444,0.468,0.465,0.507,0.458,0.402,0.437,0.458,0.51,0.474,0.483,0.46,0.52,null
Karnataka,SHIMOGA,0.459,0.458,0.449,0.522,0.51,0.489,0.486,0.482,0.511,0.506,0.497,0.516,0.514,0.534,null
Karnataka,TUMKUR,0.355,0.386,0.401,0.416,0.446,0.393,0.369,0.4,0.414,0.464,0.393,0.417,0.401,0.449,null
Karnataka,UDUPI,0.629,0.594,0.627,0.684,0.66,0.626,0.637,0.634,0.655,0.677,0.647,0.66,0.631,0.685,null
Karnataka,UTTAR KANNAD,0.528,0.512,0.523,0.589,0.576,0.557,0.55,0.555,0.587,0.566,0.555,0.585,0.551,0.561,null
Karnataka,YADGIR,0.392,0.412,0.409,0.469,0.42,0.398,0.415,0.444,0.442,0.381,0.417,0.483,0.38,0.481,null
