district level ndvi values for Karnataka during dec month derived from modis data,,,,,,,,,,,,,,,,
state_name,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,2020_21
Karnataka,BAGALKOT,0.483,0.486,0.513,0.521,0.546,0.478,0.498,0.51,0.524,0.507,0.437,0.521,0.46,0.528,null
Karnataka,BANGALORE RURAL,0.472,0.504,0.56,0.521,0.564,0.496,0.475,0.483,0.513,0.587,0.447,0.531,0.454,0.541,null
Karnataka,BANGALORE URBAN,0.456,0.509,0.562,0.525,0.552,0.506,0.479,0.472,0.487,0.564,0.435,0.506,0.456,0.517,null
Karnataka,BELGAUM,0.515,0.486,0.501,0.538,0.552,0.493,0.485,0.502,0.554,0.499,0.468,0.537,0.519,0.536,null
Karnataka,BELLARY,0.434,0.429,0.437,0.448,0.466,0.418,0.436,0.41,0.468,0.43,0.381,0.487,0.422,0.529,null
Karnataka,BIDAR,0.483,0.443,0.512,0.54,0.546,0.445,0.519,0.59,0.434,0.391,0.497,0.557,0.414,0.591,null
Karnataka,BIJAPUR,0.484,0.431,0.444,0.478,0.495,0.389,0.473,0.469,0.469,0.427,0.406,0.512,0.39,0.534,null
Karnataka,CHAMARAJANAGAR,0.525,0.522,0.546,0.551,0.619,0.564,0.511,0.507,0.535,0.668,0.398,0.574,0.51,0.616,null
Karnataka,CHIKBALLAPUR,0.453,0.459,0.493,0.498,0.533,0.472,0.449,0.44,0.411,0.547,0.375,0.479,0.376,0.522,null
Karnataka,CHIKMAGALUR,0.508,0.51,0.527,0.548,0.595,0.548,0.526,0.523,0.568,0.616,0.493,0.551,0.581,0.616,null
Karnataka,CHITRADURGA,0.397,0.4,0.398,0.43,0.488,0.377,0.394,0.366,0.429,0.444,0.328,0.422,0.394,0.479,null
Karnataka,DAKSHIN KANNAD,0.645,0.614,0.622,0.648,0.666,0.627,0.671,0.664,0.671,0.7,0.668,0.676,0.681,0.666,null
Karnataka,DAVANGERE,0.436,0.452,0.452,0.453,0.51,0.417,0.439,0.423,0.477,0.447,0.407,0.473,0.443,0.53,null
Karnataka,DHARWAD,0.528,0.516,0.558,0.557,0.58,0.508,0.525,0.531,0.586,0.504,0.411,0.582,0.51,0.575,null
Karnataka,GADAG,0.415,0.456,0.501,0.476,0.526,0.403,0.484,0.46,0.503,0.448,0.366,0.502,0.41,0.533,null
Karnataka,GULBARGA,0.456,0.429,0.474,0.515,0.532,0.447,0.479,0.529,0.515,0.405,0.497,0.528,0.431,0.56,null
Karnataka,HASSAN,0.553,0.523,0.564,0.56,0.628,0.589,0.504,0.525,0.564,0.639,0.476,0.546,0.544,0.613,null
Karnataka,HAVERI,0.45,0.475,0.469,0.496,0.568,0.465,0.48,0.454,0.527,0.469,0.393,0.487,0.49,0.501,null
Karnataka,KODAGU,0.652,0.622,0.632,0.646,0.677,0.638,0.652,0.654,0.673,0.724,0.649,0.691,0.656,0.706,null
Karnataka,KOLAR,0.472,0.487,0.526,0.546,0.563,0.513,0.52,0.469,0.486,0.575,0.431,0.558,0.446,0.56,null
Karnataka,KOPPAL,0.355,0.384,0.419,0.424,0.445,0.364,0.408,0.397,0.44,0.373,0.34,0.462,0.357,0.481,null
Karnataka,MANDYA,0.547,0.546,0.574,0.563,0.617,0.585,0.538,0.541,0.586,0.657,0.517,0.614,0.566,0.629,null
Karnataka,MYSORE,0.524,0.533,0.537,0.552,0.616,0.56,0.506,0.5,0.564,0.647,0.446,0.576,0.491,0.616,null
Karnataka,RAICHUR,0.461,0.439,0.461,0.48,0.455,0.443,0.477,0.469,0.484,0.46,0.444,0.564,0.446,0.578,null
Karnataka,RAMNAGARA,0.522,0.547,0.588,0.533,0.616,0.56,0.523,0.525,0.566,0.675,0.488,0.589,0.531,0.628,null
Karnataka,SHIMOGA,0.524,0.516,0.491,0.53,0.569,0.541,0.546,0.519,0.564,0.587,0.55,0.574,0.585,0.604,null
Karnataka,TUMKUR,0.463,0.469,0.494,0.485,0.543,0.465,0.444,0.459,0.492,0.589,0.417,0.491,0.478,0.569,null
Karnataka,UDUPI,0.665,0.642,0.644,0.684,0.696,0.655,0.674,0.671,0.688,0.712,0.684,0.693,0.692,0.696,null
Karnataka,UTTAR KANNAD,0.556,0.548,0.52,0.583,0.611,0.574,0.6,0.593,0.622,0.628,0.602,0.633,0.639,0.632,null
Karnataka,YADGIR,0.482,0.436,0.466,0.515,0.5,0.463,0.495,0.495,0.508,0.449,0.469,0.523,0.427,0.507,null
